league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993,21.3,35,19,15,16,4,13,24,54.2,11,29,18,11,24,59,142,4
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",21,2002,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",18,2005,0.1,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,2,0
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,22,2001,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,2001,34.4,49,27,26,16,7,31,50,62.0,19,28,10,18,21,70,76,3
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,22,2001,25.5,39,25,17,10,12,13,23,56.5,10,19,4,15,5,44,34,0
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26,1998,16.0,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,36.4,4,4,4,0,0,3,9,33.3,6,2,0,2,0,4,26,4
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28,1996,9.6,14,10,6,6,2,8,16,50.0,8,15,4,11,8,22,13,2
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004,5.9,17,11,12,5,0,9,13,69.2,4,3,0,3,7,24,19,0
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000,32.3,83,44,27,29,27,31,81,38.3,50,40,3,37,27,110,31,2
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23,2001,38.0,40,24,23,12,5,22,36,61.1,14,77,57,20,34,74,226,3
