league,season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000,32.9,2286,2146,138,104,4,19,11,8,0,0,0,0,2016,2,7
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2.0,112,104,8,6,0,0,0,0,0,0,0,0,101,0,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22,2001,21.6,661,631,26,5,10,3,22,9,4,0,0,0,482,4,20
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32,1992,18.9,929,756,170,42,2,3,24,128,0,0,0,0,745,3,21
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20,2004,3.3,150,134,16,4,0,1,20,0,12,6,3,0,99,0,5
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27,1997,28.9,988,965,19,0,9,1,75,19,0,0,0,0,749,4,39
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32,1991,23.1,1953,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"DF,MF",24,1999,11.3,698,647,49,13,0,1,13,36,0,0,0,0,594,2,14
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,23,2000,10.4,413,345,67,13,2,2,51,1,36,23,8,0,316,1,15
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26,1998,26.7,1610,1370,237,20,0,5,119,180,37,23,9,3,1338,3,28
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22,2002,12.2,382,372,9,0,2,0,41,8,1,0,0,0,290,1,12
ENG-Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994,1.9,95,81,14,1,0,1,20,6,6,3,2,1,60,0,7
