league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,18,2006,13.5,0,12,2,16.7,0.89,0.15,0.0,0.0,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7
ENG-Premier League,2425,Tottenham,Mathys Tel,FRA,FW,19,2005,10.1,2,22,8,36.4,2.17,0.79,0.05,0.13,16.0,1,1,1,3.0,2.2,0.1,-1.0,-1.2
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,23,2001,11.3,0,6,2,33.3,0.53,0.18,0.0,0.0,11.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,16,2007,4.1,0,3,0,0.0,0.74,0.0,0.0,,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,21,2002,21.3,3,34,13,38.2,1.6,0.61,0.09,0.23,20.9,0,0,0,3.7,3.7,0.11,-0.7,-0.7
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,24,1999,29.0,2,39,8,20.5,1.34,0.28,0.05,0.25,23.0,4,0,0,1.6,1.6,0.04,0.4,0.4
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,22,2002,13.9,0,5,1,20.0,0.36,0.07,0.0,0.0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,27,1997,5.6,4,17,7,41.2,3.04,1.25,0.24,0.57,9.1,0,0,0,3.7,3.7,0.22,0.3,0.3
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27,1997,18.3,2,22,5,22.7,1.2,0.27,0.09,0.4,17.4,0,0,0,1.3,1.3,0.06,0.7,0.7
ENG-Premier League,2425,Tottenham,Sergio Reguilón,ESP,DF,27,1996,2.2,0,2,0,0.0,0.92,0.0,0.0,,13.3,1,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32,1992,23.4,7,55,24,43.6,2.35,1.02,0.11,0.25,17.0,1,1,2,7.2,5.7,0.11,-0.2,0.3
ENG-Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",28,1996,5.7,0,8,3,37.5,1.4,0.52,0.0,0.0,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,"FW,MF",19,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,"FW,MF",19,2004,9.4,1,13,4,30.8,1.38,0.42,0.08,0.25,16.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,27,1996,15.6,2,11,4,36.4,0.7,0.26,0.18,0.5,23.4,0,0,0,0.6,0.6,0.06,1.4,1.4
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,34,1989,9.2,0,5,0,0.0,0.55,0.0,0.0,,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,26,1997,35.0,2,16,5,31.3,0.46,0.14,0.13,0.4,15.1,0,0,0,1.2,1.2,0.07,0.8,0.8
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31,1993,25.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,24,2000,1.8,0,4,2,50.0,2.17,1.08,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,"MF,FW",27,1997,15.7,1,25,8,32.0,1.6,0.51,0.04,0.13,19.0,1,0,0,1.8,1.8,0.07,-0.8,-0.8
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",22,2001,8.7,1,14,4,28.6,1.6,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6
ENG-Premier League,2425,West Ham,Danny Ings,ENG,"FW,MF",32,1992,3.2,1,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,26,1997,19.7,0,12,1,8.3,0.61,0.05,0.0,0.0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,29,1994,23.5,2,16,7,43.8,0.68,0.3,0.13,0.29,19.0,3,0,0,2.0,2.0,0.12,0.0,0.0
ENG-Premier League,2425,West Ham,Evan Ferguson,IRL,FW,19,2004,1.7,0,5,1,20.0,2.88,0.58,0.0,0.0,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,30,1994,12.8,0,8,1,12.5,0.63,0.08,0.0,0.0,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,29,1994,11.5,1,13,5,38.5,1.13,0.43,0.08,0.2,19.9,3,0,0,1.6,1.6,0.13,-0.6,-0.6
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",27,1996,33.0,13,86,36,41.9,2.6,1.09,0.14,0.33,17.4,1,1,1,8.6,7.8,0.09,4.4,4.2
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,24,1999,20.3,0,5,0,0.0,0.25,0.0,0.0,,12.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,19,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,26,1997,22.7,0,18,5,27.8,0.79,0.22,0.0,0.0,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5
ENG-Premier League,2425,West Ham,Lewis Orford,ENG,MF,18,2006,0.5,0,1,0,0.0,1.84,0.0,0.0,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,"MF,FW",26,1997,26.4,4,39,3,7.7,1.47,0.11,0.05,0.67,19.5,4,2,2,5.3,3.7,0.1,-1.3,-1.7
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,"MF,FW",18,2006,1.7,0,4,1,25.0,2.4,0.6,0.0,0.0,13.6,0,0,0,0.4,0.4,0.1,-0.4,-0.4
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27,1997,37.2,0,13,2,15.4,0.35,0.05,0.0,0.0,8.9,0,0,0,1.6,1.6,0.13,-1.6,-1.6
