league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,expected_npxg/sh,expected_g-xg,expected_np:g-xg
ENG-Premier League,2425,Manchester City,Divin Mubama,ENG,FW,19.0,2004.0,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,1,0,1,0.0,3,3,0,0,0,0,0,0,0,5,0,0,2,3,1,5,0,0,,0,,2,14,0,0,0,0,1,3,0.04,0.0,0.0
ENG-Premier League,2425,Manchester City,Ederson,BRA,GK,30.0,1993.0,26,26,2320,25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.0,0.16,0.16,0.0,0.16,0.0,0.06,0.06,0.0,0.06,42,4,1,80.0,923,817,106,29,1,2,0,0,0,975,689,962,13,0,0,975,0,0,,0,,654,3060,1981,0,0,1,0,616,,0.0,0.0
ENG-Premier League,2425,Manchester City,Erling Haaland,NOR,FW,24.0,2000.0,31,31,2736,30.4,22,3,25,19,3,4,2,0,22.0,18.8,3.0,21.8,24,20,124,0.72,0.1,0.82,0.62,0.72,0.72,0.1,0.82,0.62,0.72,34,57,50,53.3,381,372,7,0,1,0,3,1,0,639,22,40,222,384,190,635,36,13,36.1,20,55.6,310,1494,577,15,23,45,27,478,0.19,0.0,0.2
ENG-Premier League,2425,Manchester City,Jack Grealish,ENG,"FW,MF",28.0,1995.0,20,7,721,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,26,1,7,12.5,436,418,18,5,0,0,20,4,9,521,15,42,162,324,71,521,29,13,44.8,9,31.0,376,2881,1714,23,46,10,16,423,0.08,-0.1,-0.1
ENG-Premier League,2425,Manchester City,Jahmai Simpson-Pusey,ENG,DF,18.0,2005.0,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,25.0,115,110,5,3,0,0,0,1,0,123,9,61,59,3,1,123,1,0,0.0,0,0.0,79,376,190,0,0,1,0,101,,0.0,0.0
ENG-Premier League,2425,Manchester City,James Mcatee,ENG,"MF,FW",21.0,2002.0,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,0.5,3.3,7,7,32,0.77,0.0,0.77,0.77,0.77,0.72,0.13,0.85,0.72,0.85,8,2,3,40.0,125,122,3,1,1,0,8,0,1,168,2,17,62,90,21,168,7,2,28.6,5,71.4,96,486,211,6,1,5,1,122,0.23,0.2,0.2
ENG-Premier League,2425,Manchester City,Jeremy Doku,BEL,"FW,MF",22.0,2002.0,29,16,1516,16.8,3,6,9,3,0,0,1,0,1.3,1.3,4.8,6.1,213,69,286,0.18,0.36,0.53,0.18,0.53,0.08,0.29,0.36,0.08,0.36,63,0,12,0.0,762,757,3,0,8,0,59,1,2,1027,4,46,233,772,161,1027,201,107,53.2,60,29.9,796,7581,4865,95,109,59,59,854,0.05,1.7,1.7
ENG-Premier League,2425,Manchester City,John Stones,ENG,"DF,MF",30.0,1994.0,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,22,8,6,57.1,403,389,13,7,0,3,0,0,0,442,40,142,234,68,4,442,2,2,100.0,0,0.0,292,2146,1183,14,0,2,0,333,0.22,1.6,1.6
ENG-Premier League,2425,Manchester City,Joško Gvardiol,CRO,DF,22.0,2002.0,37,36,3277,36.4,5,0,5,5,0,0,2,0,4.6,4.3,2.1,6.3,91,264,121,0.14,0.0,0.14,0.14,0.14,0.13,0.06,0.18,0.12,0.17,137,54,41,56.8,2721,2502,211,41,6,11,22,163,0,3103,146,764,1549,815,98,3103,43,25,58.1,14,32.6,1997,10574,6002,102,15,29,16,2257,0.11,0.4,0.7
ENG-Premier League,2425,Manchester City,Kevin De Bruyne,BEL,"MF,FW",33.0,1991.0,28,19,1702,18.9,4,7,11,4,0,0,2,0,5.1,5.1,8.0,13.1,51,157,150,0.21,0.37,0.58,0.21,0.58,0.27,0.42,0.69,0.27,0.69,64,5,16,23.8,1196,1031,160,32,15,10,145,18,94,1368,10,75,455,850,79,1368,34,13,38.2,17,50.0,812,4001,2076,51,20,26,28,1021,0.09,-1.1,-1.1
